subject,https://osgeo.geolexica.org/api/geolexica#termID,https://osgeo.geolexica.org/api/geolexica#review_status,https://osgeo.geolexica.org/api/geolexica#review_decision_notes,https://osgeo.geolexica.org/api/geolexica#review_decision_evemt,https://osgeo.geolexica.org/api/geolexica#review_decision,https://osgeo.geolexica.org/api/geolexica#review_date,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
https://osgeo.geolexica.org/api/osgeo-review/Review382,c382,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review11,c11,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review297,c297,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review4,c4,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review171,c171,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review352,c352,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review267,c267,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review141,c141,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review83,c83,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review322,c322,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review237,c237,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review111,c111,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review53,c53,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review418,c418,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review394,c394,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review207,c207,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review23,c23,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review183,c183,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review364,c364,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review279,c279,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review153,c153,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review95,c95,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review334,c334,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review249,c249,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review123,c123,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review65,c65,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review304,c304,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review219,c219,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review280,c280,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review35,c35,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review195,c195,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review376,c376,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review250,c250,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
https://osgeo.geolexica.org/api/osgeo-review/Review165,c165,no data@en,no data@en,no data@en,no data@en,2022-01-01^^http://www.w3.org/2001/XMLSchema#date,osgeo:ConceptReview
,,,,,,,owl:NamedIndividual
