s,o
https://isotc211.geolexica.org/api/concepts#locale,locale
https://isotc211.geolexica.org/api/concepts#register_manager,register manager
https://isotc211.geolexica.org/api/concepts#retirement,retirement
https://isotc211.geolexica.org/api/concepts#supersession,supersession
https://isotc211.geolexica.org/api/concepts#object_point,object point
https://isotc211.geolexica.org/api/concepts#objective,objective
https://isotc211.geolexica.org/api/concepts#principal_point_symmetry,principal point of best symmetry
https://isotc211.geolexica.org/api/concepts#attributeXML,attribute (XML)
https://isotc211.geolexica.org/api/concepts#propertyGML,property (GML)
https://isotc211.geolexica.org/api/concepts#principal_register,principal register
https://isotc211.geolexica.org/api/concepts#image,image
https://isotc211.geolexica.org/api/concepts#knowledge_base,knowledge base
https://isotc211.geolexica.org/api/concepts#measurand,measurand
https://isotc211.geolexica.org/api/concepts#measurement,measurement
https://isotc211.geolexica.org/api/concepts#radiant_energy,radiant energy
https://isotc211.geolexica.org/api/concepts#affine_coordinate_system,affine coordinate system
https://isotc211.geolexica.org/api/concepts#concatenated_operation,concatenated operation
https://isotc211.geolexica.org/api/concepts#cylind_coord_system,cylindrical coordinate system
https://isotc211.geolexica.org/api/concepts#depth,depth
https://isotc211.geolexica.org/api/concepts#height,height
https://isotc211.geolexica.org/api/concepts#linear_coord_system,linear coordinate system
https://isotc211.geolexica.org/api/concepts#map_projection,map projection
https://isotc211.geolexica.org/api/concepts#pixel,pixel
https://isotc211.geolexica.org/api/concepts#polar_coord_system,polar coordinate system
https://isotc211.geolexica.org/api/concepts#semi_major_axis,semi-major axis
https://isotc211.geolexica.org/api/concepts#semi_minor_axis,semi-minor axis
https://isotc211.geolexica.org/api/concepts#unit,unit
https://isotc211.geolexica.org/api/concepts#vertical_datum,vertical datum
https://isotc211.geolexica.org/api/concepts#transportation_mode,transportation mode
https://isotc211.geolexica.org/api/concepts#data_quality_basic_measure,data quality basic measure
https://isotc211.geolexica.org/api/concepts#resolution_sensor,resolution (of a sensor)
https://isotc211.geolexica.org/api/concepts#scene,scene
https://isotc211.geolexica.org/api/concepts#foliation,foliation
https://isotc211.geolexica.org/api/concepts#leaf_one_parameter,leaf (one parameter set of geometries)
https://isotc211.geolexica.org/api/concepts#one_param_set_geom,one parameter set of geometries
https://isotc211.geolexica.org/api/concepts#prism_one_param_set_geom,prism (one parameter set of geometries)
https://isotc211.geolexica.org/api/concepts#trajectory,trajectory
https://isotc211.geolexica.org/api/concepts#active_object,active object
https://isotc211.geolexica.org/api/concepts#basic_service,basic service
https://isotc211.geolexica.org/api/concepts#continuous_change,continuous change
https://isotc211.geolexica.org/api/concepts#coupling,coupling
https://isotc211.geolexica.org/api/concepts#digital_item,digital item
https://isotc211.geolexica.org/api/concepts#discrete_change,discrete change
