dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
152,osgeo-review:Review152,osgeo:ConceptReview,owl:NamedIndividual,,,,,
153,osgeo-review:Review153,osgeo:ConceptReview,owl:NamedIndividual,,,,,
154,osgeo-review:Review154,osgeo:ConceptReview,owl:NamedIndividual,,,,,
155,osgeo-review:Review155,osgeo:ConceptReview,owl:NamedIndividual,,,,,
156,osgeo-review:Review156,osgeo:ConceptReview,owl:NamedIndividual,,,,,
157,osgeo-review:Review157,osgeo:ConceptReview,owl:NamedIndividual,,,,,
158,osgeo-review:Review158,osgeo:ConceptReview,owl:NamedIndividual,,,,,
159,osgeo-review:Review159,osgeo:ConceptReview,owl:NamedIndividual,,,,,
160,osgeo-review:Review160,osgeo:ConceptReview,owl:NamedIndividual,,,,,
161,osgeo-review:Review161,osgeo:ConceptReview,owl:NamedIndividual,,,,,
162,osgeo-review:Review162,osgeo:ConceptReview,owl:NamedIndividual,,,,,
163,osgeo-review:Review163,osgeo:ConceptReview,owl:NamedIndividual,,,,,
164,osgeo-review:Review164,osgeo:ConceptReview,owl:NamedIndividual,,,,,
165,osgeo-review:Review165,osgeo:ConceptReview,owl:NamedIndividual,,,,,
166,osgeo-review:Review166,osgeo:ConceptReview,owl:NamedIndividual,,,,,
167,osgeo-review:Review167,osgeo:ConceptReview,owl:NamedIndividual,,,,,
168,osgeo-review:Review168,osgeo:ConceptReview,owl:NamedIndividual,,,,,
169,osgeo-review:Review169,osgeo:ConceptReview,owl:NamedIndividual,,,,,
170,osgeo-review:Review170,osgeo:ConceptReview,owl:NamedIndividual,,,,,
171,osgeo-review:Review171,osgeo:ConceptReview,owl:NamedIndividual,,,,,
172,osgeo-review:Review172,osgeo:ConceptReview,owl:NamedIndividual,,,,,
173,osgeo-review:Review173,osgeo:ConceptReview,owl:NamedIndividual,,,,,
